,name,review
0,"Hardy Reef, QLD"," the reef is 60km out from shute harbour/airlie beach how to see it for yourself? most of the great barrier reef’s attractions lie under the surface, of course, and hardy reef in its southern section (further from shore and therefore less trafficked) is a great place to see them. expect a stunning array of polychromatic hard and soft corals, a couple of hundred fish species – including tusk fish, trevally, snapper, cuttlefish, moray eels, barracuda, unicorn fish, surgeonfish, angelfish, wrasse, gropers – not to mention starfish, giant clams and even the occasional passing whale. but you’ll have to take to the air to see this sight and the other major local attraction, heart reef, which is in a protected area off-limits to underwater tourists. hardy reef features fantasea’s permanent reefworld pontoon, where you can snorkel, dive, do a semi-submersible tour and even stay the night, while further out is cruise whitsundays’ knuckle reef pontoon. both offer helicopter flights starting from $110/$129 for 10 minutes. this image was taken from a chopper at midday. those with deeper pockets can also fly out from the whitsunday islands or the mainland – by helicopter or seaplane – in 30 minutes to save themselves the long boat ride. why i love it “hardy reef is probably my favourite part of the great barrier reef, because it features beautiful turquoise colours and incredible textured patterns. this particular view holds significance to me because it was my first ever helicopter flight and aerial photo shoot.” – mark gray "
1,"Burra Homestead, SA"," just outside burra, 160km north of adelaide how to see it for yourself? famous to midnight oil fans for featuring on the cover of diesel and dust – also shot by ken duncan – this old homestead at the foot of the mt lofty ranges was abandoned long ago by smallholders unable to sustain a livelihood on this rain-starved land. ironically, this iconic scene of golden rural australia is looking a lot greener now after all the recent rain – if you visit in september-october, you might even find it surrounded by canola in bloom, though the crops are rotated. hence you might not see this this exact scene. drive north on the barrier highway for 6km from the centre of the historic town of burra – once a major copper mining centre and also a location used in the filming of breaker morant. you’ll see the homestead on your right about 100m off the road. but bear in mind it’s on private property, so unless you ask permission for a closer look, you can only view it from the road. the building faces west so visit in the late afternoon to see it in its best light. why i love it “i first immortalised this old farmhouse in my early days as a landscape photographer. the original shot became one of my most famous images when it was used on diesel and dust. how it tickled me when i returned to the area more than ten years later and the local tourist office gave me directions to ‘the midnight oil house’!” – ken duncan "
2,"The Twelve Apostles, VIC"," near princetown, 200km down the great ocean road from geelong, or 270km south-west of melbourne how to see it for yourself? constant erosion by wind and sea of the limestone cliffs formed caves and then bridges; when these collapsed – the fate of the nearby island archway in 2009 and london bridge in 1990 – they left these stacks up to 45m high isolated offshore. they’re a highlight of the great ocean road – probably australia’s most scenic coastal drive. note that you can shave 50km off the drive from melbourne by taking the inland route via the princes highway, but then you’d miss out on the other attractions. formerly called the sow and piglets until being renamed the 12 apostles in the 1920s, they have never numbered 12 – though it depends who’s counting. continuing erosion means they could topple at any time, but you can currently see seven stacks to the west of the 12 apostles viewpoint, and two more to the east. sunrise – the time this shot was taken – offers the most dramatic lighting from the viewpoint, followed by sunset. and visit at dawn or hang around after the sun goes down to see little penguins – they come ashore each evening on the beach at the base of the 70m cliffs. if you want to get to the water’s edge yourself, the nearest access is via gibsons steps, 1km to the east, but access is restricted. why i love it “people are not normally allowed onto this beach because of the penguin colony, but i was granted special permission and had to be accompanied by a ranger. we arrived in darkness to position ourselves for sunrise; at first light the penguins began to prepare to go out fishing. first one of the birds came down to the water’s edge to make sure everything was ok, then he signalled to a little troupe of followers to join him. this was mirrored down the entire beach as hundreds and hundreds of penguins began their daily routine. some of thepenguins actually walked within inches of my tripod. after they had all departed, the moon began to sink towards the horizon and its silvery light illuminated the scene before me.” – ken duncan "
3,"Bungle Bungle Ranges, WA"," purnululu national park, wa, 250km south of kununurra how to see it for yourself? you’ll be speechless within seconds of take-off as you’re introduced to purnululu national park’s bungle bungle range, a carved 350 million-year-old landscape of gorges and pools surrounded by a soft, green blanket of grassland. since its discovery in the 1980s, what was once australia’s best-kept secret is now internationally recognised as a top destination. because most of the area is inaccessible by car or foot, the best way to appreciate the tiger-striped beehive domes is from a plane or helicopter. why i love it no matter how many times you soar over the bungle bungles, they always look different, depending on the time of year, the time of day and prevailing weather conditions. it’s a place you could visit time and again, and we urge you to do it at least once in your lifetime. "
4,"Hill Inlet, Whitsunday Island"," east coast of whitsunday island, the largest island in the group offshore from airlie beach, between rockhampton and mackay how to see it for yourself? access to whitsunday island, one of the undeveloped islands in the group that forms the whitsunday islands national park, is usually by boat from airlie beach/shute harbour or via one of the other island resorts, but there are helicopter/seaplane joy flights if you want to see it from the air like this. the whitsundays offer a range of accommodation options from camping to qualia, hamilton island’s luxury resort, but the perfect way to experience the islands, reefs and the swirling turquoise water and pure white sands of hill inlet is on your own yacht – look into skippered or bareboat hires. you can anchor overnight at tongue bay (at the left of this picture), and walk up to a lookout at tongue point for a view over the inlet. visit at low tide to see the best patterns. whitehaven beach stretches 7km south from hill inlet and is also worth pointing a camera at: it’s one of australia’s most beautiful beaches, boasting sand of such purity you could make optical glass from it. why i love it “great swirls of pure white silica sand sweep and curl through crystal clear waters. the patterns, like those of a kaleidoscope, are everchanging; churned by a moving shaft of silica out to sea. this, to me, is one of the most beautiful locations on the planet.” – ken duncan "
5,"Craig’s Hut, Mt Stirling, VIC"," in the australian alps, 230km north-west of melbourne how to see it for yourself? drive up towards mt buller from mansfield, then take a left after the mirimbah tollgate onto stirling road. then it’s 8km of sealed road to telephone box junction, the limit for vehicles in winter. but in the warmer months you can continue to the gravel by 2wd circuit road: turn left and drive for 20km to the junction with clear hills track. from there it’s a 20-minute walk or short 4wd drive to craig’s hut. the spectacular, minimally developed mt stirling attracts cross-country skiers, horse riders and bushwalkers. the original craig’s hut, inspired by those used by cattle drovers for temporary shelter, was built for the movie the man from snowy river (1982) but burnt down in a bushfire. this replica – with a tin rather than bark roof – was completed in 2008. the shot was taken at sunrise. there are a couple of hundred huts (or their ruins) scattered through the australian alps; some built for fishermen, skiers, miners or hydro workers as well as graziers. most are only accessible on foot/bike/horseback. wallace hut near falls creek (see number 26 in this list) is thought to be the oldest, built in 1889. a further 2km down the bogong high plains road is cope hut, built for skiers in 1929, while fry’s hut in the howqua hills historic area, 34km from mansfield, is another good example. see the sites below for more information. why i love it “i spent three days camping in the snow at craig’s hut with a good friend a few years ago and it was an experience we will never forget. the peace and solitude were incredibly unique. we drank ice-cold water from a nearby stream and built a campfire from fallen tree branches. every night we lay awake in our tents trying to figure out what kind of high-country animals made such terrifying noises! perhaps the rumours of wild cats and panthers have some credibility after all.” – mark gray "
6,"Remarkable Rocks, Kangaroo Island, SA"," kangaroo island, which lies 15km off south australia’s fleurieu peninsula how to see it for yourself? ki has plenty of natural attractions (see issue #36) – beaches, wildlife, seafood, sheer peace – but these rock formations in flinders chase national park, in the south-western corner of the 150km-long island, are a big draw. the granite boulders, decorated with orange lichen, sit atop a bald rock outcrop that slopes down into the sea, and have been sculpted with tafoni (deep cavities) – by wind, rain and sea spray. the classic shot of the rocks is taken facing north, but this group is to the south-west. you can get to ki by car ferry or plane. why i love it “the balance of the formation really fascinated me; i was especially taken with the ‘open arms’ of the larger stone at the front right of the group. it was as if it was protecting the little rock beneath it, like the enshrouding wings of an angel.” – ken duncan "
7,"Cradle Mountain, TAS"," cradle mountain-mt field np, 90km south of devonport how to see it for yourself? from dove lake car park, it’s a two-and-a-halfhour return walk up to marions lookout for good views of cradle mountain. why i love it “it was a beautiful winter’s day. after getting some shots at the base of cradle mountain, i headed back, but after walking for half an hour i decided it wasn’t the right way. i backtracked and looked up to see a full moon rising. i quickly set up my tripod to capture this amazing sight. i was thinking how fortunate i was that i had taken the wrong track… and then the guide markers disappeared under snow and i became hopelessly lost. i’d started the walk to marions lookout at 1pm; it was now 9pm and i was buggered. i sank to my knees and yelled, ‘help!’ “to my amazement, a male voice replied, ‘are you right, mate?’ he told me to walk towards his torch. “he introduced himself as wes moule and he was going moonlight skiing.he insisted he guide me back over the next 200m as it was very icy. he said he carried 45kg packs to the walkers doing the overland track in summer. i googled wes later and found he was in remission from cancer, and had vowed that for every kilometre walked carrying the packs he would donate $1 to the w. p. holman clinic in launceston. wes walked 1220km in 2010-11, and 1170km in 2011-12. i finally made it back to the car park at 10.30pm. the car was frozen over and the road was iced up but i made it home. then came the hard part: explaining why i was late to my wife!” – jeff crow "
8,"Parachilna Gorge, Flinders Ranges, SA"," east of parachilna, 200km north of port augusta outside the flinders ranges national park how to see it for yourself? reach this scenic outback gorge by turning right at parachilna (if approaching from the south) towards blinman. it’s a dirt road and ok for 2wds unless it’s been raining and the creeks are flowing. you can camp anywhere in the gorge for free at any time of year, but it’s best seen in spring. this region is great for 4wds, with a network of public access routes allowing you to traverse private land – download a map and always check road conditions. parachilna itself is home to not much beyond the prairie hotel, famous for its flinders feral food using local ingredients. why i love it “this is a photo that had existed for years in my mind before it became a reality. travelling along this road, we were caught in the dust of another car when suddenly i saw the possibilities, so we stopped and set up the camera. i asked my assistant to get back into the vehicle and drive by nice and fast. much to his delight we had to do it again and again before the dust, the light and the wind came together.” – ken duncan "
9,"Cathedral Rocks, Kiama"," jones beach, 3km north of kiama how to see it for yourself? kiama is only 120km south of sydney and an easy daytrip through the royal national park and down the pretty south coast, but there’s plenty to see in the area to warrant a longer stay. most visitors are drawn to kiama’s famous blowhole, another product of the ancient volcanic lava flows that also formed cathedral rocks. you’ll find them at the southern end of jones beach, and with a little bit of early morning rockhopping you’ll be able to see them from this angle. by the way, don’t confuse this formation with cathedral rock in northern nsw. why i love it “luring sightseers since 1890, the atmosphere at cathedral rocks is something else. you get a real beginning-of-time feeling when visiting.” – kieran o’connor "
